SCHOOL_ID,SCHOOL_NM,the_geom,UNIT_ID,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
610134,POPE,POINT (-87.7028989766739 41.85567990751638),5480,1852 S ALBANY AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7028989764,41.8556799083
610400,LEGACY CHARTER,POINT (-87.73047009505497 41.856920861694675),5870,4217 W 18TH ST,ES,"PK, K, 1, 2, 3, 4",Charter,-87.730470095,41.8569208624
610184,SPRY,POINT (-87.69903574503986 41.848161930567805),6010,2400 S MARSHALL BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6990357451,41.8481619311
610215,MADERO,POINT (-87.70506311788981 41.840915756790494),6310,3202 W 28TH ST,MS,"6, 7, 8",Elementary School,-87.705063118,41.8409157575
610227,WHITNEY,POINT (-87.72560067038388 41.84007954176321),6440,2815 S KOMENSKY AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7256006707,41.8400795426
610240,HENSON,POINT (-87.72149470991292 41.86356557309062),6570,1326 S AVERS AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7214947097,41.8635655739
610253,LATHROP,POINT (-87.70923177332931 41.86117501876094),6750,1440 S CHRISTIANA AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7092317732,41.8611750195
610254,DVORAK,POINT (-87.71574408380515 41.8589246099821),6760,3615 W 16TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7157440833,41.8589246107
610273,PADEREWSKI,POINT (-87.71735784114689 41.85094398472936),6930,2221 S LAWNDALE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7173578409,41.8509439854
610274,JOHNSON,POINT (-87.70308371150745 41.861837178248805),6940,1420 S ALBANY AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7030837111,41.8618371794
610357,SPRY HS,POINT (-87.69903574503986 41.848161930567805),7930,2400 S MARSHALL BLVD,HS,"9, 10, 11, 12",High School,-87.6990357451,41.8481619311
610384,INFINITY HS HS,POINT (-87.7341032935916 41.8360359309467),7680,3120 S KOSTNER AVE,HS,"9, 10, 11",High School,-87.7341032938,41.8360359317
610383,SOCIAL JUSTICE HS,POINT (-87.7341032935916 41.8360359309467),7600,3120 S KOSTNER AVE,HS,"9, 10, 11",High School,-87.7341032938,41.8360359317
610385,MULTI-CULTURAL ARTS HS,POINT (-87.7341032935916 41.8360359309467),7630,3120 S KOSTNER AVE,HS,"9, 10, 11",High School,-87.7341032938,41.8360359317
400042,HENRY FORD CHARTER,POINT (-87.70955482637596 41.869975746162716),1165,3333 W ARTHINGTON ST,HS,9,Charter,-87.7095548267,41.869975747
610389,ORR ACADEMY,POINT (-87.72611124521967 41.8944496512862),1830,730 N PULASKI RD,HS,"9, 10, 11, 12",High School,-87.7261112454,41.8944496517
609907,ERICSON,POINT (-87.71578518591207 41.87570555650499),3240,3600 W 5TH AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.715785186,41.8757055573
609723,MARSHALL HS,POINT (-87.70804918191423 41.87840293105496),1470,3250 W ADAMS ST,HS,"9, 10, 11, 12",High School,-87.7080491823,41.8784029321
400056,NOBLE - ROWE-CLARK MATH AND SCIENCE ACADEMY MAROO*,POINT (-87.71804756195452 41.895403420681276),1934,3645 W CHICAGO AVE,HS,"9, 10",Charter,-87.7180475616,41.8954034212
609881,DELANO,POINT (-87.72466226599238 41.87884008846329),3000,3937 W WILCOX ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7246622658,41.878840089
609954,GREGORY,POINT (-87.7186666163999 41.87078332642114),3660,3715 W POLK ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7186666169,41.8707833271
609985,HEFFERAN,POINT (-87.73580264845904 41.87870580906446),3910,4409 W WILCOX ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7358026481,41.8787058096
610498,POLARIS CHARTER ACADEMY,POINT (-87.70774139373609 41.89255115606332),4150,620 N SAWYER AVE,ES,"K, 1, 2",Charter,-87.7077413939,41.8925511564
610154,RYERSON,POINT (-87.71874221252197 41.893236487574015),5680,646 N LAWNDALE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7187422123,41.8932364886
610055,FARADAY,POINT (-87.70809103014314 41.879672436901096),4640,3250 W MONROE ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7080910301,41.8796724374
610133,"WARD, L",POINT (-87.71743218813876 41.88844962810359),5470,410 N MONTICELLO AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7174321884,41.888449629
610503,FRAZIER INTERNATIONAL BACCALAUREATE MAGNET SCHOOL,POINT (-87.72631402337511 41.86702737260089),5850,4027 W GRENSHAW ST,ES,"K, 1, 2, 3, 4, 5",Elementary School,-87.7263140239,41.8670273731
610293,MELODY,POINT (-87.73042595970684 41.874751288221056),7190,412 S KEELER AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7304259592,41.8747512894
610194,SUMNER,POINT (-87.73350460083527 41.87078984178116),6110,4320 W 5TH AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7335046011,41.8707898429
610202,TILTON,POINT (-87.73062145182348 41.88410129231173),6210,223 N KEELER AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7306214524,41.884101293
610221,WEBSTER,POINT (-87.72752544452456 41.869957015426955),6380,4055 W ARTHINGTON ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7275254445,41.8699570164
610241,MARCONI,POINT (-87.73927019126037 41.884337983858316),6590,230 N KOLMAR AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7392701918,41.884337985
610500,FRAZIER PREPARATORY ACADEMY,POINT (-87.72631402337511 41.86702737260089),6650,4027 W GRENSHAW ST,ES,"PK, K, 1, 2, 3, 4, 5",Contract,-87.7263140239,41.8670273731
610255,LEARN CHARTER,POINT (-87.71062442950848 41.86727390904346),6770,1132 S HOMAN AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7106244298,41.8672739098
610334,RABY HS,POINT (-87.7154241992902 41.88625121525945),7690,3545 W FULTON BLVD,HS,"9, 10, 11, 12",High School,-87.7154241994,41.8862512159
610344,KIPP ASCEND CHARTER,POINT (-87.7326681903073 41.872029194279534),7810,715 S KILDARE AVE,MS,"5, 6, 7, 8",Charter,-87.7326681902,41.8720291949
610348,GOLDBLATT,POINT (-87.73277710796896 41.87784892965016),7840,4257 W ADAMS ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7327771085,41.8778489302
609817,BUDLONG,POINT (-87.69655659582932 41.97579549130233),2440,2701 W FOSTER AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6965565952,41.975795492
609794,EDISON,POINT (-87.70971912548096 41.971140649377666),2220,4929 N SAWYER AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7097191251,41.9711406498
